Tract ID,Population 2010,Population 2000,White 2010,White 2000,Black or African American 2010,Black or African American 2000,American Indian and Alaska Native 2010,American Indian and Alaska Native 2000,Asian 2010,Asian 2000,Native Hawaiian and Other Pacific Islander 2010,Native Hawaiian and Other Pacific Islander 2000,Other Race 2010,Other Race 2000,Two or More Races 2010,Two or More Races 2000,Not Hispanic or Latino 2010,Not Hispanic or Latino 2000,Hispanic or Latino 2010,Hispanic or Latino 2000,Male 2010,Male 2000,Female 2010,Female 2000,Median Age 2010,Median Age 2000,Households 2010,Households 2000,Family Households 2010,Family Households 2000,Husband-wife family 2010,Husband-wife family 2000,Male no wife present 2010,Male no wife present 2000,Female no husband present 2010,Female no husband present 2000,Living alone 2010,Living alone 2000,Living with roommates 2010,Living with roommates 2000,Households with over-60's 2010,Households with over-60's 2000
031000,3494,3556,1982,3404,103,1942,12,199,1154,6,3,1152,83,2,157,103,3123,337,371,3219,1755,1740,1739,1816,45.6,41.0,1271,1281,886,256,691,104,55,1025,140,901,236,304,236,304,597,226
031300,,8201,,7903,,1585,,2349,,26,,3556,,31,,356,,732,,7469,,3982,,4219,,38.5,,2572,,483,,174,,2089,,1862,,559,,559,,482
016400,3778,3791,2565,3624,370,2527,19,665,373,27,8,293,220,16,223,96,3298,335,480,3456,1997,2050,1781,1741,33.4,31.8,1811,1814,432,739,306,432,52,1075,74,401,759,70,759,70,221,89
060900,,411,,407,,199,,135,,2,,26,,6,,39,,86,,325,,279,,132,,40.0,,73,,26,,21,,47,,35,,6,,6,,2
022903,3384,3942,1687,3679,69,1687,29,116,473,38,3,450,863,16,260,1372,1673,2345,1711,1597,1767,2058,1617,1884,34.7,30.7,1118,1128,559,197,340,100,69,931,150,676,256,224,256,224,310,110
015500,3622,3591,1725,3454,352,1691,13,639,1151,6,14,1057,208,4,159,57,3275,196,347,3395,1523,1522,2099,2069,45.7,43.9,2176,2102,533,1283,359,400,38,819,136,550,1379,67,1379,67,1162,668
022901,4640,4965,2193,4590,246,2592,56,108,362,61,32,287,1435,24,316,1518,1851,3564,2789,1401,2464,2676,2176,2289,31.6,29.5,1410,1260,786,202,392,101,130,1058,264,764,246,289,246,289,318,105
025100,3077,3249,2015,3010,158,1915,10,231,417,17,4,499,262,4,211,344,2358,737,719,2512,1588,1705,1489,1544,40.3,38.3,1269,1281,640,345,456,172,62,936,122,645,343,182,343,182,405,136
011000,4827,5029,2259,4903,78,1976,6,73,2252,8,4,2780,74,7,154,59,4601,141,226,4888,2270,2454,2557,2575,35.8,35.9,2475,2440,766,1113,591,549,54,1327,121,865,1122,202,1122,202,702,307
032601,4416,,1710,,70,,9,,2305,,4,,106,,212,,4123,,293,,2139,,2277,,36.8,,1728,,913,,683,,71,,159,,464,,464,,598,
012100,3833,3462,2171,3304,190,2084,42,116,1018,20,4,984,184,9,224,91,3336,257,497,3205,1879,1916,1954,1546,28.6,32.3,2194,2330,311,1570,220,850,27,760,64,343,1422,70,1422,70,360,142
032600,,8605,,8325,,3566,,98,,12,,4519,,7,,123,,354,,8251,,4134,,4471,,37.2,,3190,,792,,327,,2398,,1895,,577,,577,,469
026301,4875,4410,977,4261,45,1052,16,44,2972,32,2,2576,677,10,186,547,3506,1150,1369,3260,2435,2199,2440,2211,40.6,37.3,1273,1118,1007,172,691,79,90,946,226,875,172,324,172,324,652,212
026303,4551,4529,965,4283,81,1047,12,69,2637,7,17,2448,685,41,154,671,3324,1230,1227,3299,2286,2171,2265,2358,41,37.0,1233,1185,975,153,678,55,100,1032,197,958,180,349,180,349,605,215
020300,3034,3145,2208,2989,77,2365,20,113,368,15,5,288,202,6,154,202,2569,510,465,2635,1865,1933,1169,1212,37.8,35.6,1661,1705,333,780,234,532,41,925,58,319,735,49,735,49,311,89
021800,3840,3914,2987,3653,69,3011,16,94,390,19,1,299,144,13,233,217,3287,674,553,3240,1931,2019,1909,1895,40.9,38.4,1768,1805,846,591,660,278,55,1214,131,789,569,237,569,237,551,152
061000,3610,2400,547,2309,481,378,28,456,1996,1,15,1303,345,23,198,148,3015,309,595,2091,1834,1195,1776,1205,36.8,36.8,1150,643,807,104,558,55,79,539,170,489,231,165,231,165,388,90
012900,,5706,,5564,,4799,,47,,12,,623,,2,,81,,279,,5427,,2576,,3130,,33.9,,3651,,2110,,846,,1541,,807,,123,,123,,377
990100,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
015600,2728,2821,1597,2703,64,1637,6,90,819,3,5,917,73,6,164,50,2535,164,193,2657,1315,1355,1413,1466,34.7,33.5,1272,1300,499,476,387,234,35,824,77,501,436,133,436,133,345,144
023200,4582,4490,616,4282,1832,386,46,2617,628,47,58,490,1113,61,289,681,2802,1011,1780,3479,2295,2151,2287,2339,33.4,32.1,1228,1225,907,196,459,78,102,1029,346,933,249,224,249,224,482,217
031301,3826,,961,,696,,8,,1863,,8,,117,,173,,3540,,286,,1850,,1976,,40.9,,1261,,834,,552,,71,,211,,262,,262,,600,
